name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MLT53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT54	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT55	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT56	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT57	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC13	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC14	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC15	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC16	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC17	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC24	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC25	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC54	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC55	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC61	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC62	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRC63	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF13	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF14	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF24	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF25	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF33	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF34	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF35	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF44	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF45	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF46	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF54	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF55	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF56	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF61	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF62	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF63	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF64	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF65	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF66	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRF67	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO14	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO24	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO33	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO34	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO43	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO44	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRO53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP33	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP34	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP35	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP43	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP44	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP45	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP54	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP55	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP56	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRP57	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MRT11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
